pid,title,journal_title,journal_area,year,period_3,eligible_order,credibility_revolution_method_present,method_type,causal_design_quote,tough_call_reason,method_class
S2236-57102024000100204,FATORES FISCAIS E SOCIOECONÔMICOS QUE AFETAM A CRIMINALIDADE NO BRASIL,Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,307,FALSE,fixed_effects_causal_panel_claim,"regressão linear múltipla de dados em painel, pelo método de efeitos fixos e aleatórios","O artigo usa linguagem de impacto/efeito e modelos de painel com efeitos fixos e aleatórios, mas não apresenta lógica explícita de identificação causal; por isso, os modelos contam como statistical_modeling e passam pela triagem, mas não como método de credibilidade. Também há um componente documental/legislativo, embora o núcleo empírico seja quantitativo.",diagnostic_not_design
S2236-57102024000100204,FATORES FISCAIS E SOCIOECONÔMICOS QUE AFETAM A CRIMINALIDADE NO BRASIL,Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,307,FALSE,observational_regression_with_causal_claim_no_design,"regressão linear múltipla de dados em painel, pelo método de efeitos fixos e aleatórios","O artigo usa linguagem de impacto/efeito e modelos de painel com efeitos fixos e aleatórios, mas não apresenta lógica explícita de identificação causal; por isso, os modelos contam como statistical_modeling e passam pela triagem, mas não como método de credibilidade. Também há um componente documental/legislativo, embora o núcleo empírico seja quantitativo.",diagnostic_not_design
S2236-57102024000100207,IDEOLOGIA IMPORTA? UMA ANÁLISE DOS PARECERES EMITIDOS PELOS TRIBUNAIS DE CONTAS BRASILEIROS,Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,310,FALSE,none_detected,NA,"A ACM é uma técnica multivariada e justifica `statistical_modeling`, mas o artigo também tem forte componente descritivo e linguagem de associação. A claim explicativa existe, porém não há estratégia causal de credibilidade ou identificação causal explícita.",diagnostic_not_design
S2236-57102024000100210,COMPRAS PÚBLICAS NA PANDEMIA: EXPERIÊNCIAS ESTADUAIS NO FEDERALISMO BOLSONARISTA,Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,313,FALSE,none_detected,NA,NA,diagnostic_not_design
S2236-57102024000100211,SUS: USO DE EQUIPAMENTOS INOVADORES PARA DIAGNÓSTICO DO CÂNCER DE MAMA,Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,314,FALSE,fixed_effects_causal_panel_claim,"Para a escolha do mais adequado, foram realizados os testes F, de Breusch-Pagan e de Hausman. Os resultados destes são apresentados na Tabela 5. A partir da análise dos testes, o modelo de efeitos fixos mostrou-se como o mais adequado entre as alternativas.","O artigo usa linguagem de impacto e estima modelo de efeitos fixos com dados em painel, mas não apresenta lógica de tratamento, comparação tratada-controle, intervenção temporal, tendências paralelas ou outro argumento explícito de identificação causal. Por isso passa pela triagem, mas não conta como método de credibilidade.",diagnostic_not_design
S2236-57102024000100212,PCC OU POLÍTICAS PÚBLICAS? UMA ANÁLISE DA REDUÇÃO DOS HOMICÍDIOS EM SÃO PAULO,Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,315,FALSE,observational_regression_with_causal_claim_no_design,"Na Tabelas 3 e 4, apresentam-se os quadros de regressões, em que a variação percentual entre os anos 2000 e 2010 da TMH nos bairros é a variável dependente","O artigo usa linguagem de grupo controle e grupo tratamento ao comparar quartis de distritos por proporção de moradores em favelas, o que poderia sugerir desenho causal; porém a análise não explicita uma estratégia de identificação como DiD, experimento, IV, RDD ou matching, e a modelagem principal é regressão observacional com claims explicativos.",diagnostic_not_design
S2236-57102024000100403,DECIFRANDO A ESFINGE DA BUROCRACIA SUBNACIONAL NO FEDERALISMO BRASILEIRO: O QUE SE ESCONDE POR TRÁS DESSA REALIDADE?,Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,320,FALSE,none_detected,NA,"A classificação como mixed_empirical depende de tratar a leitura e interpretação dos resumos filtrados como componente qualitativo substantivo; esse componente é real, mas secundário em relação à bibliometria e às estatísticas descritivas. A categoria bivariada também é uma decisão interpretativa porque as correlações são correlações de palavras, não testes substantivos entre variáveis políticas.",diagnostic_not_design
S2236-57102024000100406,DESIGUALDADES DE GÊNERO E COR/RAÇA ENTRE OS DIRIGENTES MUNICIPAIS E ESTADUAIS NO BRASIL (2010 e 2019),Cadernos Gestão Pública e Cidadania,Administração Pública,2024,2019-2025,322,TRUE,matching_or_weighting,"O uso do matching é recomendado para estudos com variáveis explicativas binárias, sendo capaz de tornar os grupos tratamento (mulheres e negros) e os grupos controle (homens e brancos) semelhantes com relação a covariáveis especificadas.","O artigo usa CEM e linguagem de identificação de efeitos, o que sustenta registrar matching_or_weighting como método de credibilidade; porém a justificativa causal é limitada, com pareamento e regressões apresentados sobretudo como redução de viés observável, sem discussão detalhada de ignorabilidade ou desenho quase-experimental.",strict_design_method
S2236-57102025000100201,Efeito do monitoramento dos observatórios sociais nos gastos municipais brasileiros,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,332,TRUE,difference_in_differences,"we are forced to move away from the 2×2 approach, with two groups (treatment and control) and two periods (pre and post), adopting the difference-in-differences Two Way Fixed Effects approach","The paper contains institutional descriptions and quoted material about observatory practices, but these serve as context and mechanism discussion rather than a substantive qualitative empirical analysis. I therefore classify the empirical evidence as quantitative_only rather than mixed_empirical.",strict_design_method
S2236-57102025000100201,Efeito do monitoramento dos observatórios sociais nos gastos municipais brasileiros,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,332,TRUE,event_study,"we are forced to move away from the 2×2 approach, with two groups (treatment and control) and two periods (pre and post), adopting the difference-in-differences Two Way Fixed Effects approach","The paper contains institutional descriptions and quoted material about observatory practices, but these serve as context and mechanism discussion rather than a substantive qualitative empirical analysis. I therefore classify the empirical evidence as quantitative_only rather than mixed_empirical.",strict_design_method
S2236-57102025000100201,Efeito do monitoramento dos observatórios sociais nos gastos municipais brasileiros,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,332,TRUE,fixed_effects_causal_panel_claim,"we are forced to move away from the 2×2 approach, with two groups (treatment and control) and two periods (pre and post), adopting the difference-in-differences Two Way Fixed Effects approach","The paper contains institutional descriptions and quoted material about observatory practices, but these serve as context and mechanism discussion rather than a substantive qualitative empirical analysis. I therefore classify the empirical evidence as quantitative_only rather than mixed_empirical.",diagnostic_not_design
S2236-57102025000100202,Reforma do setor portuário brasileiro: Análise dos investimentos após a Lei n. 12.815/2013,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,333,FALSE,none_detected,NA,"The article is explicitly descriptive and has no causal identification design, but it also frames the analysis as investigating the effects and impact of the 2013 regulatory framework. I therefore screened it because the causal/explanatory claim is associated with quantitative descriptive analysis, while classifying the credibility-revolution method as absent.",diagnostic_not_design
S2236-57102025000100205,FIQUE EM CASA! O DESEMPENHO DOS TRABALHADORES DURANTE A PANDEMIA DO COVID-19,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,336,FALSE,observational_regression_with_causal_claim_no_design,"""utilizando técnicas estatísticas como a Análise Fatorial Exploratória (AFE) e a Análise de Cluster""","O artigo usa linguagem de impacto e modelagem estatística exploratória, mas não apresenta estratégia de identificação causal. Como a modelagem é observacional e sem desenho de credibilidade, foi classificado como causal/explanatory claim sem método de credibilidade.",diagnostic_not_design
S2236-57102025000101004,"TRANSPARÊNCIA ATIVA, DADOS ABERTOS E DESEMPENHO ACADÊMICO: ANÁLISE DAS UNIVERSIDADES FEDERAIS BRASILEIRAS",Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,353,FALSE,observational_regression_with_causal_claim_no_design,"foram estimados dois modelos de regressão por mínimos quadrados ordinários, visando identificar a relação entre desempenho e as variáveis de transparência nas universidades","O artigo usa linguagem de efeito e relações causais e estima regressões OLS, mas também se autodefine como pesquisa descritiva quantitativa e não apresenta estratégia de identificação causal; por isso deve ser triado, mas não classificado como método de credibilidade-revolução.",diagnostic_not_design
S2236-57102025000101200,CAPACIDADES DE INOVAÇÃO NO EMPREENDEDORISMO SOCIAL EM AMBIENTE DE CRISE: UMA ANÁLISE PELA PERSPECTIVA DOS COLABORADORES,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,358,FALSE,none_detected,NA,"A análise textual com Iramuteq quantifica o corpus e usa AFC, CHD, análise de similitude e chi2, o que justifica classificação quantitativa ampla e modelagem textual; ao mesmo tempo, o desenho substantivo é predominantemente qualitativo e interpretativo, sem estratégia causal de identificação.",diagnostic_not_design
S2236-57102025000101402,DETERMINANTES DO DESMATAMENTO HISTÓRICO E RECENTE DA AMAZÔNIA NA PERSPECTIVA DA ESTATÍSTICA ESPACIAL,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,365,FALSE,observational_regression_with_causal_claim_no_design,utiliza-se o modelo espacial autorregressivo ou Spatial Auto-Regressive model (SAR),"O artigo usa linguagem de determinantes, impacto e fatores que contribuem para o desmatamento, mas a estratégia empírica é regressão espacial observacional sem discussão de identificação causal; por isso passa pelo screen, mas não recebe método de credibilidade-revolution.",diagnostic_not_design
S2236-57102025000101607,"¿LA PROTESTA, SIN LA CALLE? LOS FORMATOS DE PROTESTA Y LA RELACIÓN CON LAS RESTRICCIONES A LA CIRCULACIÓN EN ARGENTINA (2020)",Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,379,FALSE,none_detected,NA,"A análise quantitativa é apenas descritiva, mas o artigo formula explicitamente fatores que incidiram na decisão dos atores; por isso foi rastreado como claim explicativa associada à análise quantitativa, embora nenhum método de credibilidade ou identificação causal seja usado.",diagnostic_not_design
S2236-57102025000101702,ARRANJOS FEDERATIVOS E FEDERALISMO FISCAL: UMA PROPOSTA DE FUSÃO MUNICIPAL NO BRASIL,Cadernos Gestão Pública e Cidadania,Administração Pública,2025,2019-2025,385,FALSE,observational_regression_with_causal_claim_no_design,NA,"O artigo usa linguagem de efeitos e simula um cenário de fusão municipal, mas não apresenta uma estratégia de identificação causal de credibilidade; por isso a classificação registra causal/explanatory claim com modelagem observacional, sem método de credibilidade presente.",diagnostic_not_design
S0102-85292005000100005,O Desempenho dos congressos Argentino e Brasileiro em perspectiva comparada,Contexto Internacional,Relações Internacionais,2005,2005-2011,392,FALSE,none_detected,NA,"A análise quantitativa própria é claramente descritiva, mas há um componente qualitativo-documental substantivo em regras institucionais, ementas e tramitação legislativa. Além disso, o artigo faz claims explicativos com base em estatísticas descritivas, o que justifica triagem para métodos de credibilidade, embora nenhum desenho causal moderno esteja presente.",diagnostic_not_design
S0102-85292006000200004,"Coalizões Sul-Sul e multilateralismo: Índia, Brasil e África do Sul",Contexto Internacional,Relações Internacionais,2006,2005-2011,409,FALSE,none_detected,NA,"O artigo tem longa discussão teórica e trata o IBSA como caso, mas a evidência empírica própria sistemática é a codificação de votos/posições e os índices bivariados; não há corpus qualitativo próprio suficientemente claro para classificar como mixed_empirical.",diagnostic_not_design
S0102-85292008000300003,"Contenciosos brasileiros na Organização Mundial do Comércio (OMC): pauta comercial, política e instituições",Contexto Internacional,Relações Internacionais,2008,2005-2011,434,FALSE,none_detected,NA,"O artigo usa apenas estatísticas descritivas, mas associa esses padrões a um argumento explicativo sobre motivos econômicos e políticos da seleção de demandas; por isso foi triado para o screen de credibilidade, embora nenhum método causal esteja presente.",diagnostic_not_design
S0102-85292009000100004,Impacto dos fatores macro e microeconômicos nas relações comerciais: o caso da Argentina e do Brasil,Contexto Internacional,Relações Internacionais,2009,2005-2011,442,FALSE,none_detected,NA,"A seção de elasticidade apresenta uma fórmula com variável dependente e independente, o que justifica classificar como statistical_modeling, mas o artigo não reporta inferência estatística e grande parte da análise é descritiva por quadros e gráficos. A classificação como mixed_empirical também exige julgamento porque a evidência qualitativa é contextual e documental/setorial, não baseada em entrevistas ou estudo de caso formal.",diagnostic_not_design
S0102-85292010000100003,Atuação da OTAN no pós-Guerra Fria: implicações para a segurança internacional e para a ONU,Contexto Internacional,Relações Internacionais,2010,2005-2011,456,FALSE,none_detected,NA,"O artigo é majoritariamente teórico-jurídico e qualitativo, mas apresenta tabelas e figuras com contagens próprias de operações ONU/OTAN para avaliar uma hipótese. Isso justifica classificá-lo como quantitativo Torreblanca amplo, embora apenas com estatística descritiva.",diagnostic_not_design
S0102-85292014000100005,A modernização militar da China e a distribuição de poder no Leste Asiático,Contexto Internacional,Relações Internacionais,2014,2012-2018,530,FALSE,none_detected,NA,"A principal ambiguidade é se os cálculos militares sem tabela, base de dados formal ou estatística inferencial contam como análise quantitativa original. Classifico como quantitativo descritivo porque o artigo reagrupa inventários, calcula totais, proporções, requisitos e cenários numéricos próprios para sustentar o argumento empírico.",diagnostic_not_design
S0102-85292015000200537,Processos de Difusão Política e Legitimidade no Mercosul: Mimetismo Institucional e Mecanismos de Internalização de Normas Comunitárias,Contexto Internacional,Relações Internacionais,2015,2012-2018,561,FALSE,none_detected,NA,"O artigo usa linguagem de hipótese e explicação associada a análise quantitativa descritiva de documentos; por isso passa pelo screen de causal/explanatory claim with quantitative analysis, mas não apresenta inferência estatística nem desenho causal de credibilidade.",diagnostic_not_design
S0102-85292016000100241,Public Opinion and Framing Effects of Argentine Foreign Policy Toward Brazil: Evidence from a Survey Experiment in Urban Centers in Argentina,Contexto Internacional,Relações Internacionais,2016,2012-2018,582,TRUE,experiment_survey,respondents were randomly assigned to one of the four experimental groups. The experimental stimulus was administrated in the middle of the questionnaire,NA,strict_design_method
S0102-85292016000100467,"Presidents, Legislators, and Foreign Policy in Latin America",Contexto Internacional,Relações Internacionais,2016,2012-2018,587,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article uses causal and impact language with quantile regression, but it does not provide a design-based identification strategy; the qualitative case section also makes the evidence mixed empirical, although the main design is quantitative.",diagnostic_not_design
S0102-85292016000200643,Energy Security: China and the United States and the Divergence in Renewable Energy,Contexto Internacional,Relações Internacionais,2016,2012-2018,594,FALSE,none_detected,NA,"The article is partly theoretical and literature-driven, but it explicitly uses descriptive quantitative comparisons and documentary policy evidence. The credibility screen is a tough call because the quantitative analysis is descriptive only, yet the article ties those descriptive comparisons to explanatory claims about why China and the United States diverge in renewable energy.",diagnostic_not_design
S0102-85292017000200393,Land Market and Land Grabbing in Brazil during the Commodity Boom of the 2000s,Contexto Internacional,Relações Internacionais,2017,2012-2018,625,FALSE,none_detected,NA,"The article is clearly empirical and quantitative, but its quantitative analysis mixes descriptive statistics with explicit correlation analysis. Because it reports correlations, including a Pearson coefficient, it goes beyond `descriptive_statistics_only`; however, it does not report statistical inference or multivariable modeling. The article also makes explanatory claims, but its evidence is correlational and historical rather than a credibility-revolution causal design.",diagnostic_not_design
S0102-85292018000100139,A Face Econômica dos Arranjos Cooperativos Internacionais: os Casos IBAS e CPLP,Contexto Internacional,Relações Internacionais,2018,2012-2018,643,FALSE,observational_regression_with_causal_claim_no_design,"""a correlation was found between the variables, but it is not possible to categorically infer a causal relation between them""","The paper uses cluster analysis, before/after comparisons, peer countries, and explanatory language about economic effects, but it explicitly states that its evidence supports correlation rather than categorical causal inference and does not articulate a design-based identification strategy.",diagnostic_not_design
S0102-85292018000100161,O Papel da Capacidade e Poder Institucional-Legal para Explicar a Performance dos Países em Desenvolvimento nas Disputas na OMC contra o G2,Contexto Internacional,Relações Internacionais,2018,2012-2018,644,FALSE,observational_regression_with_causal_claim_no_design,NA,"The article has qualitative legal-institutional sections and case examples, but the original empirical contribution is mainly quantitative statistical modeling. I classify it as mixed empirical because the procedural legal reconstruction and outcome coding are substantive qualitative evidence supporting the model, while no credibility-revolution causal design is present despite explanatory language.",diagnostic_not_design
S0102-85292019000200365,Questões de Gênero na Torre do Marfim de RI no Brasil,Contexto Internacional,Relações Internacionais,2019,2019-2025,674,FALSE,none_detected,NA,"The article is mainly descriptive and explicitly says the open-ended comments are illustrative rather than systematically analyzed, but it still contains substantive qualitative respondent evidence and one chi-squared test, so mixed empirical and bivariate-test classification are warranted.",diagnostic_not_design
S0102-85292020000300515,"‘Paz com o rosto de uma mulher’: Mulheres, Redes Sociais e o Processo de Paz na Colômbia",Contexto Internacional,Relações Internacionais,2020,2019-2025,698,FALSE,none_detected,NA,"The article uses broad explanatory language about women’s inclusion and applies topic modelling, but the empirical strategy remains an observational gender comparison without a design-based causal identification strategy.",diagnostic_not_design
